output,has_any_regions,total_region_count,content_density_score,has_header_region,header_size_ratio,header_top_position,prev_page_has_signature,prev_page_emptiness,content_increase_from_prev,first_content_vertical_position,paragraph_to_region_ratio,has_no_signature,has_small_header_only,surrounded_by_content,content_continuity_score,consistent_layout_with_neighbors,has_signature,signature_at_bottom,next_page_emptiness,content_decrease_to_next,bottom_region_is_final,is_structural_boundary,content_discontinuity_score,regions_vs_document_avg,is_outlier_in_sequence
NONE,1,4,0.00151934542980258,1,0.7817705605028811,0.054163298302344384,0,0.0,0.0,0.054163298302344384,0.75,1,1,0,0.0,0.0,0,0,1.0,1.0,0,0,0.0,0.3801332047005219,0
NONE,0,0,0.0,0,0.0,0.0,0,0.9984806545701974,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,1.0,0.0,0,1,1.0,0.0,1
NONE,0,0,0.0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0,0,0.5167103452723394,0.0,0,1,1.0,0.0,1
NONE,1,13,0.48328965472766067,1,0.003351883125232692,0.170767306088407,0,1.0,1.0,0.16930775646371976,0.15384615384615385,1,1,0,0.0,0.3,0,0,0.45356665058038337,0.0,0,1,1.0,1.2354329152766963,0
NONE,1,5,0.5464333494196166,0,0.0,0.0,0,0.5167103452723394,0.19670411088512885,0.17918019480519481,0.8,1,0,1,0.6,0.6,0,0,0.5247388908914766,0.19025874855801642,1,0,0.4,0.4751665058756524,0
NONE,1,57,0.47526110910852337,0,0.0,0.0,0,0.45356665058038337,0.0,0.16930775646371976,0.12280701754385964,1,0,0,0.6,0.3,0,0,1.0,1.0,0,0,0.4,5.416898166982437,1
NONE,0,0,0.0,0,0.0,0.0,0,0.5247388908914766,0.0,1.0,0.0,1,0,1,0.0,0.0,0,0,0.472491629728619,0.0,0,1,1.0,0.0,1
START,1,37,0.5275083702713811,1,0.001990841202338148,0.1916180150125104,0,1.0,1.0,0.16930775646371976,0.21621621621621623,1,1,0,0.0,0.3,0,0,0.4946368475932609,0.042530084693947694,0,1,1.0,3.5162321434798276,1
